route_id,month,DayOfWeek,HourSourceTime,StopSequence_Rishui,n_rows_in_group,n_distinct_stopcodes,winning_stopcode,winning_stopcode_votes,ambiguous
11108,1,6,13,7,3,2,948,2,False
11108,1,6,13,8,3,2,952,2,False
11108,1,6,13,9,3,2,953,2,False
11108,1,6,13,10,3,2,954,2,False
5502,1,1,14,42,3,2,6028,2,False
11107,1,1,14,67,3,2,3093,2,False
11108,1,1,14,1,3,2,1711,2,False
11108,1,1,14,2,3,2,6189,2,False
11108,1,1,14,3,3,2,202,2,False
11108,1,1,14,4,3,2,1586,2,False
11108,1,1,14,5,3,2,1525,2,False
11108,1,1,14,6,3,2,947,2,False
11108,1,1,14,7,3,2,948,2,False
11108,1,1,14,8,3,2,952,2,False
11108,1,1,14,9,3,2,953,2,False
11108,1,1,14,10,3,2,954,2,False
5502,1,2,14,42,3,2,6028,2,False
11107,1,2,14,67,3,2,3093,2,False
11108,1,2,14,1,3,2,1711,2,False
11108,1,2,14,2,3,2,6189,2,False
11108,1,2,14,3,3,2,202,2,False
11108,1,2,14,4,3,2,1586,2,False
11108,1,2,14,5,3,2,1525,2,False
11108,1,2,14,6,3,2,947,2,False
11108,1,2,14,7,3,2,948,2,False
11108,1,2,14,8,3,2,952,2,False
11108,1,2,14,9,3,2,953,2,False
11108,1,2,14,10,3,2,954,2,False
5502,1,3,14,42,3,2,6028,2,False
11107,1,3,14,67,3,2,3093,2,False
11108,1,3,14,1,3,2,1711,2,False
11108,1,3,14,2,3,2,6189,2,False
11108,1,3,14,3,3,2,202,2,False
11108,1,3,14,4,3,2,1586,2,False
11108,1,3,14,5,3,2,1525,2,False
11108,1,3,14,6,3,2,947,2,False
11108,1,3,14,7,3,2,948,2,False
11108,1,3,14,8,3,2,952,2,False
11108,1,3,14,9,3,2,953,2,False
11108,1,3,14,10,3,2,954,2,False
5502,1,4,14,42,3,2,6028,2,False
11107,1,4,14,67,3,2,3093,2,False
11108,1,4,14,1,3,2,1711,2,False
11108,1,4,14,2,3,2,6189,2,False
11108,1,4,14,3,3,2,202,2,False
11108,1,4,14,4,3,2,1586,2,False
11108,1,4,14,5,3,2,1525,2,False
11108,1,4,14,6,3,2,947,2,False
11108,1,4,14,7,3,2,948,2,False
11108,1,4,14,8,3,2,952,2,False
