route_name,day_label,month,share,n
97,Tue,11,0.0,37
97,Tue,12,0.0,40
97,Wed,1,0.0,40
97,Wed,2,0.0,38
97,Wed,3,0.0,25
97,Wed,4,0.038461538461538464,26
97,Wed,5,0.02564102564102564,39
97,Wed,6,0.0,31
97,Wed,7,0.025,40
97,Wed,8,0.0,14
97,Wed,9,0.0,38
97,Wed,10,0.0,30
97,Wed,11,0.35135135135135137,37
97,Wed,12,0.1388888888888889,36
97,Thu,1,0.0,40
97,Thu,2,0.0,40
97,Thu,3,0.0,26
97,Thu,4,0.0,38
97,Thu,5,0.0,40
97,Thu,6,0.0,40
97,Thu,7,0.0,40
97,Thu,8,0.0,14
97,Thu,9,0.0,36
97,Thu,10,0.0,24
97,Thu,11,0.0,40
97,Thu,12,0.0,39
97,Fri,1,0.0,22
97,Fri,2,0.14285714285714285,21
97,Fri,3,0.0625,16
97,Fri,4,0.0,22
97,Fri,5,0.0,24
97,Fri,6,0.0,22
97,Fri,7,0.0,22
97,Fri,8,0.0,0
97,Fri,9,0.0,22
97,Fri,10,0.0,6
97,Fri,11,0.0,20
97,Fri,12,0.05,20
97,Sat,1,0.5,12
97,Sat,2,0.6,10
97,Sat,3,0.8,10
97,Sat,4,1.0,7
97,Sat,5,1.0,4
97,Sat,6,1.0,7
97,Sat,7,0.75,8
97,Sat,8,0.5,8
97,Sat,9,0.7,10
97,Sat,10,0.4,10
97,Sat,11,0.6666666666666666,12
97,Sat,12,0.5,12
